,lang_train,lang,level,epoch,init,num_samples,loss,accuracy,time
0,en,en,phonemes,0,none,499,4.156931188310896,0.17460080294098174,
1,en,en,words,0,none,499,8.761357373918806,0.03124273669826133,
2,en,fr,phonemes,0,none,499,4.952398633684431,0.06218250792021198,
3,en,fr,words,0,none,499,9.518687074933734,0.0,
4,en,en,phonemes,1,none,1071,3.1349114360809325,0.21554178308589117,
5,en,en,words,1,none,1071,7.756311492374965,0.03124273669826133,
6,en,fr,phonemes,1,none,1071,5.939719672611782,0.12113164786781584,
7,en,fr,words,1,none,1071,11.303602894374302,0.0,
8,en,en,phonemes,2,none,1727,2.639869614464896,0.3226452979871205,
9,en,en,words,2,none,1727,7.54575630405971,0.033164555662976845,
10,en,fr,phonemes,2,none,1727,5.674612695421492,0.20985130476100103,
11,en,fr,words,2,none,1727,11.04039425114223,0.0,
12,en,en,phonemes,3,none,2478,2.130366269384112,0.44059809419087004,
13,en,en,words,3,none,2478,7.412064741952078,0.0369487165425505,
14,en,fr,phonemes,3,none,2478,5.9221376953125,0.32755336267607554,
15,en,fr,words,3,none,2478,11.640400132315499,0.0,
16,en,en,phonemes,4,none,3338,2.039564245768956,0.4504865734577179,
17,en,en,words,4,none,3338,7.287240339006696,0.04098867272425975,
18,en,fr,phonemes,4,none,3338,6.2513585363115585,0.3186540552548,
19,en,fr,words,4,none,3338,12.061355460030692,0.0,
20,en,en,phonemes,5,none,4324,1.9592982954297746,0.4657786566189357,
21,en,en,words,5,none,4324,7.160717521667481,0.0493062088606613,
22,en,fr,phonemes,5,none,4324,6.314709826333182,0.31692879504816873,
23,en,fr,words,5,none,4324,12.619372954232352,0.0,
24,en,en,phonemes,6,none,5453,1.8655572716849191,0.4830407839162009,
25,en,en,words,6,none,5453,7.030117469787598,0.05421768198188927,
26,en,fr,phonemes,6,none,5453,6.266561279296875,0.3352423059940338,
27,en,fr,words,6,none,5453,12.846404541015625,0.0,
28,en,en,phonemes,7,none,6747,1.8333280252729143,0.48935419266564506,
29,en,en,words,7,none,6747,6.898790022168841,0.05938803746551275,
30,en,fr,phonemes,7,none,6747,6.2204130832127165,0.3449102364948818,
31,en,fr,words,7,none,6747,13.045956304277693,0.0,
32,en,en,phonemes,8,none,8229,1.793578314099993,0.4955783566066197,
33,en,en,words,8,none,8229,6.729180277143206,0.06748054831421801,
34,en,fr,phonemes,8,none,8229,6.288252041407993,0.33181109195096153,
35,en,fr,words,8,none,8229,12.671652299063547,0.0,
36,en,en,phonemes,9,none,9927,1.7139863627297538,0.5132275741440909,
37,en,en,words,9,none,9927,6.6349379975455145,0.07372305763406413,
38,en,fr,phonemes,9,none,9927,6.434158445630755,0.3361210602692195,
39,en,fr,words,9,none,9927,13.613824966430665,0.0,
40,en,en,phonemes,10,none,11872,1.681554462977818,0.515766962664468,
41,en,en,words,10,none,11872,6.461295315878732,0.08425260717953954,
42,en,fr,phonemes,10,none,11872,6.466557661328997,0.34421096960135866,
43,en,fr,words,10,none,11872,13.62423109109061,0.0,
44,en,en,phonemes,11,none,14100,1.6042529937199184,0.538663897889001,
45,en,en,words,11,none,14100,6.286982550484794,0.09606031278414386,
46,en,fr,phonemes,11,none,14100,6.516026412963867,0.3406111958537783,
47,en,fr,words,11,none,14100,13.629134549822126,0.0,
48,en,en,phonemes,12,none,16652,1.5769105317933219,0.5466782834529876,
49,en,en,words,12,none,16652,6.125928360530309,0.10580369846948555,
50,en,fr,phonemes,12,none,16652,6.600072382790701,0.34326638558932715,
51,en,fr,words,12,none,16652,13.698021174839564,0.0,
52,en,en,phonemes,13,none,19576,1.535347320488521,0.5531664792469569,
