,lang_train,lang,level,epoch,init,num_samples,loss,accuracy,time
0,en,en,phonemes,0,none,499,4.324028355189732,0.09711335171546255,
1,en,en,words,0,none,499,8.879548224312918,0.027493554358836263,
2,en,fr,phonemes,0,none,499,5.021315032958984,0.02057554203910487,
3,en,fr,words,0,none,499,9.479446873256139,0.0,
4,en,en,phonemes,1,none,1071,2.9399293918609617,0.2714405835185732,
5,en,en,words,1,none,1071,7.731122126988002,0.03124273669826133,
6,en,fr,phonemes,1,none,1071,5.701133060455322,0.13873241270014217,
7,en,fr,words,1,none,1071,11.005461209978376,0.0,
8,en,en,phonemes,2,none,1727,2.533720705304827,0.31757934377874647,
9,en,en,words,2,none,1727,7.537307540893555,0.03456229850410351,
10,en,fr,phonemes,2,none,1727,5.63662981905256,0.2133706075293677,
11,en,fr,words,2,none,1727,11.220014770507813,0.0,
12,en,en,phonemes,3,none,2478,2.1560355638776505,0.42193284273147585,
13,en,en,words,3,none,2478,7.409564987727574,0.03978577205804842,
14,en,fr,phonemes,3,none,2478,5.928035906655448,0.31711609322684153,
15,en,fr,words,3,none,2478,11.62330607169015,0.0,
16,en,en,phonemes,4,none,3338,2.0384051301138744,0.4561954383168902,
17,en,en,words,4,none,3338,7.244704979487828,0.044659102552969544,
18,en,fr,phonemes,4,none,3338,5.887429966517857,0.34060317959104264,
19,en,fr,words,4,none,3338,11.773394900730677,0.0,
20,en,en,phonemes,5,none,4324,2.019075079372951,0.4477512248243604,
21,en,en,words,5,none,4324,7.094788327898298,0.05076693912116544,
22,en,fr,phonemes,5,none,4324,6.245817328316825,0.3182414461714881,
23,en,fr,words,5,none,4324,12.044028119768415,0.0,
24,en,en,phonemes,6,none,5453,1.9018348578044346,0.4759510477610997,
25,en,en,words,6,none,5453,6.970176619938441,0.05812703850120306,
26,en,fr,phonemes,6,none,5453,6.307289033617292,0.32311475445543014,
27,en,fr,words,6,none,5453,12.424039835248674,0.0,
28,en,en,phonemes,7,none,6747,1.840238253729684,0.48755728490012035,
29,en,en,words,7,none,6747,6.849352324894497,0.0625433395217572,
30,en,fr,phonemes,7,none,6747,6.280115471976144,0.33270522904396055,
31,en,fr,words,7,none,6747,12.68372613961356,0.0,
32,en,en,phonemes,8,none,8229,1.816165087563651,0.4923580217020852,
33,en,en,words,8,none,8229,6.752328390393938,0.0627054525065635,
34,en,fr,phonemes,8,none,8229,6.178875246320452,0.3474346178429467,
35,en,fr,words,8,none,8229,12.956373894827706,0.0,
36,en,en,phonemes,9,none,9927,1.7574769114085607,0.5067703845500946,
37,en,en,words,9,none,9927,6.610736430576869,0.07368768546996372,
38,en,fr,phonemes,9,none,9927,6.489208878108434,0.3339638741867883,
39,en,fr,words,9,none,9927,13.095275396074568,0.0,
40,en,en,phonemes,10,none,11872,1.6801271640232631,0.5227650515351977,
41,en,en,words,10,none,11872,6.450801767076765,0.08482140206545591,
42,en,fr,phonemes,10,none,11872,6.266899427141462,0.34535274182047165,
