,lang_train,lang,level,epoch,init,num_samples,loss,accuracy,time
0,en,en,phonemes,0,none,499,4.169627198355538,0.22672645879643305,
1,en,en,words,0,none,499,8.68944562312535,0.03124273669826133,
2,en,fr,phonemes,0,none,499,4.904390613010952,0.21416412011214664,
3,en,fr,words,0,none,499,9.542922162737165,0.0,
4,en,en,phonemes,1,none,1071,3.2071141308375766,0.2219068181003843,
5,en,en,words,1,none,1071,7.735534837995257,0.03124273669826133,
6,en,fr,phonemes,1,none,1071,5.8954831232343405,0.14067049913108348,
7,en,fr,words,1,none,1071,11.291926621573312,0.0,
8,en,en,phonemes,2,none,1727,2.80295536504473,0.2812438059534345,
9,en,en,words,2,none,1727,7.555267737797329,0.03010907163437722,
10,en,fr,phonemes,2,none,1727,6.010737044743129,0.15012508920367276,
11,en,fr,words,2,none,1727,11.224931567600795,0.0,
12,en,en,phonemes,3,none,2478,2.170985541888646,0.414797193646431,
13,en,en,words,3,none,2478,7.43621410206386,0.034316336532788615,
14,en,fr,phonemes,3,none,2478,5.934439468383789,0.32582339208466665,
15,en,fr,words,3,none,2478,11.875577800205775,0.0,
16,en,en,phonemes,4,none,3338,2.090662011691502,0.4507846176964896,
17,en,en,words,4,none,3338,7.263267749786377,0.04416009169098522,
18,en,fr,phonemes,4,none,3338,5.953824345179966,0.3266381867272513,
19,en,fr,words,4,none,3338,11.857088194710867,0.0,
20,en,en,phonemes,5,none,4324,1.9329828010286603,0.4681475762299129,
21,en,en,words,5,none,4324,7.11702878843035,0.047597409988088264,
22,en,fr,phonemes,5,none,4324,6.044240860530309,0.335148229105132,
23,en,fr,words,5,none,4324,12.193236145019531,0.0,
24,en,en,phonemes,6,none,5453,1.8434869044167654,0.4889818344797407,
25,en,en,words,6,none,5453,6.983078821999686,0.05520485051934208,
26,en,fr,phonemes,6,none,5453,6.037462416512626,0.343929441009249,
27,en,fr,words,6,none,5453,12.495544190543038,0.0,
28,en,en,phonemes,7,none,6747,1.8003070975712367,0.4976240768432617,
29,en,en,words,7,none,6747,6.85579481288365,0.062474642427904264,
30,en,fr,phonemes,7,none,6747,6.080362448011126,0.34759643467835016,
31,en,fr,words,7,none,6747,12.638509225027901,0.0,
32,en,en,phonemes,8,none,8229,1.7484984325681414,0.5066588256699698,
33,en,en,words,8,none,8229,6.710352159772601,0.07023399875313044,
34,en,fr,phonemes,8,none,8229,6.155975632803781,0.33774983045033047,
35,en,fr,words,8,none,8229,12.732555498395648,0.0,
36,en,en,phonemes,9,none,9927,1.7144640340805053,0.5154763974121639,
37,en,en,words,9,none,9927,6.599750479561942,0.07604630469850132,
38,en,fr,phonemes,9,none,9927,6.223725206102643,0.3541365512439183,
39,en,fr,words,9,none,9927,13.135819122314453,0.0,
40,en,en,phonemes,10,none,11872,1.6693598974772863,0.5244758982658386,
41,en,en,words,10,none,11872,6.48533005959647,0.08042062967057739,
42,en,fr,phonemes,10,none,11872,6.369341384887695,0.33903813108376096,
43,en,fr,words,10,none,11872,13.690967088971819,0.0,
44,en,en,phonemes,11,none,14100,1.6370452354976108,0.5368783744743892,
45,en,en,words,11,none,14100,6.29157334790911,0.09733935905992985,
46,en,fr,phonemes,11,none,14100,6.539538497924805,0.33934859112330845,
47,en,fr,words,11,none,14100,13.677724331447056,0.0,
48,en,en,phonemes,12,none,16652,1.5637430513926915,0.5491860929216658,
49,en,en,words,12,none,16652,6.129265151977539,0.10505214086600713,
50,en,fr,phonemes,12,none,16652,6.472570744650705,0.3474558433464595,
51,en,fr,words,12,none,16652,13.838507142203195,0.0,
52,en,en,phonemes,13,none,19576,1.4958575303213937,0.5648725074359349,
53,en,en,words,13,none,19576,5.912834795270648,0.12097894733931337,
54,en,fr,phonemes,13,none,19576,6.563097819737026,0.3478924013205937,
55,en,fr,words,13,none,19576,14.031820054190499,0.0,
56,en,en,phonemes,14,none,22925,1.483149342741285,0.5659851735660008,
57,en,en,words,14,none,22925,5.751383630480085,0.13084780777352198,
58,en,fr,phonemes,14,none,22925,6.630663586207799,0.3452103725842067,
59,en,fr,words,14,none,22925,14.041368343898228,0.0,
60,en,en,phonemes,15,none,26761,1.4359400180407933,0.5790515758650644,
61,en,en,words,15,none,26761,5.508000991821289,0.15285897333707127,
62,en,fr,phonemes,15,none,26761,6.7215590694972445,0.35121338490077425,
63,en,fr,words,15,none,26761,14.065452437264579,0.0,
64,en,en,phonemes,16,none,31156,1.4258426463263376,0.5826012213230133,
65,en,en,words,16,none,31156,5.32778109550476,0.16609775577698435,
66,en,fr,phonemes,16,none,31156,6.892893828255789,0.34408632499831066,
67,en,fr,words,16,none,31156,14.274973583766393,0.0,
68,en,en,phonemes,17,none,36190,1.387894116946629,0.5914544335433415,
69,en,en,words,17,none,36190,5.13117827469962,0.18295259147456713,
70,en,fr,phonemes,17,none,36190,7.009770769391741,0.3515054975748062,
71,en,fr,words,17,none,36190,14.642961880275182,0.0,
72,en,en,phonemes,18,none,41957,1.3575980902399336,0.6011044976370675,
73,en,en,words,18,none,41957,4.9190218541281565,0.20085337951779367,
74,en,fr,phonemes,18,none,41957,6.919512411390032,0.3485048163958958,
75,en,fr,words,18,none,41957,14.532679909842354,0.0,
76,en,en,phonemes,19,none,48563,1.3470822152410236,0.6043542112622943,
77,en,en,words,19,none,48563,4.748385058539254,0.21339039235881396,
78,en,fr,phonemes,19,none,48563,7.109468668256487,0.346216145157814,
79,en,fr,words,19,none,48563,14.733998166765485,0.0,
80,en,en,phonemes,20,none,56131,1.3148179202760968,0.6112463297162737,
81,en,en,words,20,none,56131,4.632081257956369,0.21788271879298346,
82,en,fr,phonemes,20,none,56131,7.333966112954276,0.349827528323446,
83,en,fr,words,20,none,56131,15.780597748892648,0.0,
84,en,en,phonemes,21,none,64800,1.276709309714181,0.6218625541073936,
85,en,en,words,21,none,64800,4.323177817480905,0.25462964458124976,
86,en,fr,phonemes,21,none,64800,7.311450522831508,0.3542354293550764,
87,en,fr,words,21,none,64800,15.579067989894321,0.0,
88,en,en,phonemes,22,none,74730,1.2711794988768441,0.6229401044164385,
89,en,en,words,22,none,74730,4.1586997756958,0.2732072018810681,
90,en,fr,phonemes,22,none,74730,7.465054156712124,0.3526598879269191,
91,en,fr,words,22,none,74730,15.507645261492048,0.0,
92,en,en,phonemes,23,none,86105,1.2313507502419607,0.6353972150938851,
93,en,en,words,23,none,86105,3.9337405376434327,0.2945679767727852,
94,en,fr,phonemes,23,none,86105,7.5497749895368305,0.3476488674879074,
95,en,fr,words,23,none,86105,16.295477510724748,0.0,
96,en,en,phonemes,24,none,99136,1.2066915650367738,0.6421403725147248,
97,en,en,words,24,none,99136,3.757245964050293,0.31278497110945835,
98,en,fr,phonemes,24,none,99136,7.675254155295236,0.3519189011369433,
99,en,fr,words,24,none,99136,16.52680835723877,0.0,
100,en,en,phonemes,25,none,114063,1.2040059947286332,0.6448868812833514,
101,en,en,words,25,none,114063,3.569577173233032,0.33552387722900934,
102,en,fr,phonemes,25,none,114063,7.757008251190186,0.35142128578254156,
103,en,fr,words,25,none,114063,16.99595874459403,0.0,
104,en,en,phonemes,26,none,131162,1.1850963755335127,0.6490035615648542,
105,en,en,words,26,none,131162,3.377957965714591,0.3597445991379874,
106,en,fr,phonemes,26,none,131162,7.844720200674875,0.354005214197295,
107,en,fr,words,26,none,131162,17.335680354527064,0.0,
108,en,en,phonemes,27,none,150750,1.1628702757017952,0.6550193944658552,
109,en,en,words,27,none,150750,3.1695255784988405,0.3884033727816173,
110,en,fr,phonemes,27,none,150750,7.951849338531495,0.35172272299017227,
111,en,fr,words,27,none,150750,16.927205359322684,0.0,
112,en,en,phonemes,28,none,173188,1.149102363041469,0.6602183627741678,
113,en,en,words,28,none,173188,3.001112871306283,0.40722264504432676,
114,en,fr,phonemes,28,none,173188,8.176166814531598,0.35440334853104183,
