,lang_train,lang,level,epoch,init,num_samples,loss,accuracy,time
0,en,en,phonemes,0,none,499,4.229266592843192,0.16632534853049688,
1,en,en,words,0,none,499,8.81777895137242,0.012332664388764118,
2,en,fr,phonemes,0,none,499,4.997065126146589,0.12811343239141362,
3,en,fr,words,0,none,499,9.508507804870606,0.0,
4,en,en,phonemes,1,none,1071,3.4974074826921737,0.13720055331502642,
5,en,en,words,1,none,1071,7.757977788652693,0.03124273669826133,
6,en,fr,phonemes,1,none,1071,6.365260985783168,0.04314524783061019,
7,en,fr,words,1,none,1071,11.258911358424596,0.0,
8,en,en,phonemes,2,none,1727,3.278321320125035,0.14329413231781551,
9,en,en,words,2,none,1727,7.594954985482352,0.03603401377477816,
10,en,fr,phonemes,2,none,1727,6.4975528760637555,0.03397995746225518,
11,en,fr,words,2,none,1727,11.52323450905936,0.0,
12,en,en,phonemes,3,none,2478,2.3445312012263706,0.37889861341885156,
13,en,en,words,3,none,2478,7.430970996856689,0.03330529071131189,
14,en,fr,phonemes,3,none,2478,6.1964434743608745,0.2387755739561149,
15,en,fr,words,3,none,2478,11.487164360046387,0.0,
16,en,en,phonemes,4,none,3338,2.066344720704215,0.44517841870444164,
17,en,en,words,4,none,3338,7.3561967119489395,0.043527251324483325,
18,en,fr,phonemes,4,none,3338,6.199104998452323,0.3349389365400587,
19,en,fr,words,4,none,3338,12.50953033556257,0.0,
20,en,en,phonemes,5,none,4324,1.964608171054295,0.466140584400722,
21,en,en,words,5,none,4324,7.162550964900426,0.0479969210890787,
22,en,fr,phonemes,5,none,4324,6.21109332547869,0.3283271414041519,
23,en,fr,words,5,none,4324,12.570794398716519,0.0,
24,en,en,phonemes,6,none,5453,1.8916959432874407,0.4787629611151559,
25,en,en,words,6,none,5453,7.023589888981411,0.05416213172461305,
26,en,fr,phonemes,6,none,5453,6.166810178484235,0.3414940116064889,
27,en,fr,words,6,none,5453,12.797625682285855,0.0,
28,en,en,phonemes,7,none,6747,1.8355971243722098,0.4912036326272147,
29,en,en,words,7,none,6747,6.896926576341902,0.05921350511163473,
30,en,fr,phonemes,7,none,6747,6.2171744564601354,0.3493146238837923,
31,en,fr,words,7,none,6747,13.083983958653041,0.0,
32,en,en,phonemes,8,none,8229,1.781083716392517,0.5011065230710166,
33,en,en,words,8,none,8229,6.753175496782576,0.0652737585737237,
34,en,fr,phonemes,8,none,8229,6.145952345711844,0.35364503044741497,
35,en,fr,words,8,none,8229,13.049243803841728,0.0,
36,en,en,phonemes,9,none,9927,1.7322558554240635,0.5066577857221876,
37,en,en,words,9,none,9927,6.630213980538504,0.07133679758438043,
38,en,fr,phonemes,9,none,9927,6.360378785814558,0.33808219034331183,
39,en,fr,words,9,none,9927,13.208937163216728,0.0,
40,en,en,phonemes,10,none,11872,1.6811704116548811,0.5213206809248243,
41,en,en,words,10,none,11872,6.475708906991141,0.08106352076998778,
42,en,fr,phonemes,10,none,11872,6.52512550680978,0.335262298141207,
43,en,fr,words,10,none,11872,13.691097635541643,0.0,
44,en,en,phonemes,11,none,14100,1.609207626751491,0.5373484601974488,
45,en,en,words,11,none,14100,6.285249227796282,0.09430247998237609,
46,en,fr,phonemes,11,none,14100,6.488489197867257,0.33952033710479734,
47,en,fr,words,11,none,14100,13.51701882498605,0.0,
48,en,en,phonemes,12,none,16652,1.5784073239054,0.5442086713314056,
49,en,en,words,12,none,16652,6.154180056435721,0.10292538310161659,
50,en,fr,phonemes,12,none,16652,6.619105825151716,0.34365353434426443,
51,en,fr,words,12,none,16652,13.97845006452288,0.0,
52,en,en,phonemes,13,none,19576,1.537836335659027,0.5542587144034249,
53,en,en,words,13,none,19576,5.950662605830601,0.11513525441714695,
54,en,fr,phonemes,13,none,19576,6.666154564448766,0.338815707394055,
55,en,fr,words,13,none,19576,13.654550188337053,0.0,
56,en,en,phonemes,14,none,22925,1.4925127088001797,0.5650531026976449,
57,en,en,words,14,none,22925,5.792922521591186,0.12694987523555756,
58,en,fr,phonemes,14,none,22925,6.653812087467738,0.35079289422716414,
59,en,fr,words,14,none,22925,14.144801983424596,0.0,
60,en,en,phonemes,15,none,26761,1.442814451626369,0.5777354572500502,
61,en,en,words,15,none,26761,5.556734918321882,0.14574349632007735,
62,en,fr,phonemes,15,none,26761,6.857152755737305,0.35135774181570323,
63,en,fr,words,15,none,26761,13.965373814174107,0.0,
64,en,en,phonemes,16,none,31156,1.4315489401817323,0.5811644703320095,
65,en,en,words,16,none,31156,5.378626111166818,0.15859382227488927,
66,en,fr,phonemes,16,none,31156,6.8936955288478305,0.3473996901001249,
67,en,fr,words,16,none,31156,14.387440381731306,0.0,
68,en,en,phonemes,17,none,36190,1.3810693551472255,0.5938661179201944,
69,en,en,words,17,none,36190,5.141028904506139,0.1809583726482732,
70,en,fr,phonemes,17,none,36190,7.002121411459787,0.3554291933264051,
71,en,fr,words,17,none,36190,14.576202181134905,0.0,
72,en,en,phonemes,18,none,41957,1.34926888527189,0.6022038007123129,
73,en,en,words,18,none,41957,4.958757150922502,0.19404482442566326,
74,en,fr,phonemes,18,none,41957,7.11428069468907,0.35163619535309926,
75,en,fr,words,18,none,41957,14.99811194719587,0.0,
76,en,en,phonemes,19,none,48563,1.3297564235414778,0.6077834501947675,
77,en,en,words,19,none,48563,4.764586305618286,0.2134755381345749,
78,en,fr,phonemes,19,none,48563,7.240302407400948,0.3452592499596732,
79,en,fr,words,19,none,48563,15.110724660600935,0.0,
80,en,en,phonemes,20,none,56131,1.305063011101314,0.6145964079924993,
81,en,en,words,20,none,56131,4.5678221797943115,0.22706495166676385,
82,en,fr,phonemes,20,none,56131,7.3110300674438475,0.3576751618044717,
83,en,fr,words,20,none,56131,15.670734923226492,0.0,
84,en,en,phonemes,21,none,64800,1.2812662033353532,0.6224079113006592,
85,en,en,words,21,none,64800,4.3768761940002445,0.2459190293295043,
86,en,fr,phonemes,21,none,64800,7.346462431226458,0.3533463469062533,
87,en,fr,words,21,none,64800,15.524923614501953,0.0,
88,en,en,phonemes,22,none,74730,1.254623874596187,0.6272625554629735,
89,en,en,words,22,none,74730,4.130009938376291,0.27608423872504917,
90,en,fr,phonemes,22,none,74730,7.441644390651158,0.3523171121052333,
91,en,fr,words,22,none,74730,15.928974943978446,0.0,
92,en,en,phonemes,23,none,86105,1.2391841095515659,0.6336919168063573,
93,en,en,words,23,none,86105,4.005429380961827,0.2809199372785432,
94,en,fr,phonemes,23,none,86105,7.699451832362584,0.3553869666882924,
95,en,fr,words,23,none,86105,16.413329402378626,0.0,
