,cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair,lang,count
76,TH,θ,TH,consonant,1: obstruents,fricative,,dental/alveolar,voiceless,,,,θ,en,112878
77,NG,ŋ,NG,consonant,2: nasal/approximant,nasal,dorsal,velar/uvular,,,,,,en,218981
78,S,s,S,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiceless,,,,s,en,851225
79,D,d,D,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiced,,,,t,en,753534
80,P,p,P,consonant,1: obstruents,plosive,labial,labial,voiceless,,,,p,en,352090
81,DH,ð,DH,consonant,1: obstruents,fricative,,dental/alveolar,voiced,,,,θ,en,561905
82,ER,ɝ,ER,vowel,3: vowel,vowel,,,,central,mid,monophthong,,en,458771
83,AA,ɑ,AA,vowel,3: vowel,vowel,,,,central,open,monophthong,,en,289096
84,UW,u,UW,vowel,3: vowel,vowel,,,,back,close,monophthong,,en,310148
85,SH,ʃ,SH,consonant,1: obstruents,fricative,,postalveolar/palatal,voiceless,,,,ʃ,en,131676
86,G,ɡ,G,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced,,,,k,en,173972
87,F,f,F,consonant,1: obstruents,fricative,labial,labial,voiceless,,,,f,en,303292
88,Y,j,Y,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,,en,191797
89,CH,tʃ,CH,consonant,1: obstruents,affricate,,postalveolar/palatal,voiceless,,,,tʃ,en,78718
90,UH,ʊ,UH,vowel,3: vowel,vowel,,,,back,close,monophthong,,en,95954
91,JH,dʒ,JH,consonant,1: obstruents,affricate,,postalveolar/palatal,voiced,,,,tʃ,en,89166
92,ZH,ʒ,ZH,consonant,1: obstruents,fricative,,postalveolar/palatal,voiced,,,,ʃ,en,9603
93,OY,ɔɪ,OY,vowel,3: vowel,vowel,,,,,,diphtong,,en,40795
94,l,l,L,consonant,2: nasal/approximant,approximant,,dental/alveolar,,,,,,fr,238667
95,a,a,AA,vowel,3: vowel,vowel,,,,central,open,monophthong,,fr,319241
96,p,p,P,consonant,1: obstruents,plosive,labial,labial,voiceless,,,,p,fr,119025
97,R,ʁ,R,consonant,2: nasal/approximant,approximant,,velar/uvular,,,,,,fr,328043
98,O,ɔ,AO,vowel,3: vowel,vowel,,,,back,mid,monophthong,,fr,42506
99,e,e,EE,vowel,3: vowel,vowel,,,,front,mid,monophthong,,fr,209381
100,s,s,S,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiceless,,,,s,fr,252822
101,t,t,T,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiceless,,,,t,fr,212881
102,m,m,M,consonant,2: nasal/approximant,nasal,labial,labial,,,,,,fr,140654
103,d,d,D,consonant,1: obstruents,plosive,coronal,dental/alveolar,voiced,,,,t,fr,171140
104,o,o,OO,vowel,3: vowel,vowel,,,,back,mid,monophthong,,fr,96287
105,deux,ø,|,vowel,3: vowel,vowel,,,,front,mid,monophthong,,fr,137441
106,j,j,Y,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,,fr,70779
107,E,ɛ,EH,vowel,3: vowel,vowel,,,,front,mid,monophthong,,fr,164007
108,u,u,UW,vowel,3: vowel,vowel,,,,back,close,monophthong,,fr,77121
109,^,ə,AH,vowel,3: vowel,vowel,,,,central,mid,monophthong,,fr,68878
110,n,n,N,consonant,2: nasal/approximant,nasal,coronal,dental/alveolar,,,,,,fr,102279
111,i,i,IY,vowel,3: vowel,vowel,,,,front,close,monophthong,,fr,192930
112,@,ɑ̃,@,vowel,3: vowel,vowel,,,,back,open,nasal,,fr,142830
113,y,y,y,vowel,3: vowel,vowel,,,,front,close,monophthong,,fr,88876
114,cinq,ɛ̃,cinq,vowel,3: vowel,vowel,,,,front,open,nasal,,fr,57477
115,k,k,K,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless,,,,k,fr,135627
116,un,œ̃,un,vowel,3: vowel,vowel,,,,front,open,nasal,,fr,15171
117,f,f,F,consonant,1: obstruents,fricative,labial,labial,voiceless,,,,f,fr,48598
118,w,w,W,consonant,2: nasal/approximant,approximant,,velar/uvular,,,,,,fr,43272
119,g,g,G,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced,,,,k,fr,24112
120,N,ɔ̃,ons,vowel,3: vowel,vowel,,,,back,mid,nasal,,fr,71498
121,z,z,Z,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiced,,,,s,fr,41531
122,huit,ɥ,huit,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,,fr,18010
123,v,v,V,consonant,1: obstruents,fricative,labial,labial,voiced,,,,f,fr,94351
124,S,ʃ,SH,consonant,1: obstruents,fricative,,postalveolar/palatal,voiceless,,,,ʃ,fr,24009
125,neuf,œ,/,vowel,3: vowel,vowel,,,,front,mid,monophthong,,fr,18661
126,Z,ʒ,ZH,consonant,1: obstruents,fricative,,postalveolar/palatal,voiced,,,,ʃ,fr,50971
127,b,b,B,consonant,1: obstruents,plosive,labial,labial,voiced,,,,p,fr,47877
128,G,,NG,,,,,,,,,,,fr,164
129,x,,X,,,,,,,,,,,fr,63
